Variable,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,ResultValue
NewCapacity,MINNGS,2062,,,,,,,,,18.67678
NewCapacity,MINNGS,2063,,,,,,,,,18.67678
NewCapacity,MINNGS,2064,,,,,,,,,18.67678
NewCapacity,MINNGS,2065,,,,,,,,,18.713685
NewCapacity,MINNGS,2066,,,,,,,,,19.293762
NewCapacity,MINNGS,2067,,,,,,,,,20.031019
NewCapacity,MINNGS,2068,,,,,,,,,20.785409
NewCapacity,MINNGS,2069,,,,,,,,,21.55739
NewCapacity,MINNGS,2070,,,,,,,,,22.347436
NewCapacity,PWRCOA,2021,,,,,,,,,0.19120076
NewCapacity,PWRCOA,2040,,,,,,,,,0.072219174
NewCapacity,PWRCOA,2041,,,,,,,,,0.018556105
NewCapacity,PWRCOA,2042,,,,,,,,,0.019598088
NewCapacity,PWRCOA,2043,,,,,,,,,0.014762371
NewCapacity,PWRCOA,2044,,,,,,,,,0.012097313
NewCapacity,PWRCOA,2045,,,,,,,,,0.060668659
NewCapacity,PWRCOA,2046,,,,,,,,,0.013764779
NewCapacity,PWRCOA,2047,,,,,,,,,0.023119014
NewCapacity,PWRCOA,2048,,,,,,,,,0.024411944
NewCapacity,PWRCOA,2049,,,,,,,,,0.025777099
NewCapacity,PWRCOA,2050,,,,,,,,,0.0089446128
NewCapacity,PWRNGS001,2015,,,,,,,,,0.2915364
NewCapacity,PWRNGS001,2045,,,,,,,,,0.24364389
NewCapacity,PWRNGS001,2047,,,,,,,,,0.013981793
NewCapacity,PWRNGS001,2048,,,,,,,,,0.014763724
NewCapacity,PWRNGS001,2049,,,,,,,,,0.015589335
NewCapacity,PWRNGS001,2050,,,,,,,,,0.016460996
NewCapacity,PWRNGS001,2051,,,,,,,,,0.010465607
NewCapacity,PWRNGS001,2052,,,,,,,,,0.010815684
NewCapacity,PWRNGS001,2053,,,,,,,,,0.011177479
NewCapacity,PWRNGS001,2065,,,,,,,,,6.6570786E-4
NewCapacity,PWRNGS001,2066,,,,,,,,,0.010463627
NewCapacity,PWRNGS001,2067,,,,,,,,,0.013298925
NewCapacity,PWRNGS001,2068,,,,,,,,,0.013607946
NewCapacity,PWRNGS001,2069,,,,,,,,,0.013925277
NewCapacity,PWRNGS001,2070,,,,,,,,,0.014251137
NewCapacity,PWRNGS002,2015,,,,,,,,,0.026496718
NewCapacity,PWRTRN,2018,,,,,,,,,0.070356759
NewCapacity,PWRTRN,2019,,,,,,,,,0.0976792
NewCapacity,PWRTRN,2020,,,,,,,,,0.09721385
NewCapacity,PWRTRN,2021,,,,,,,,,0.086272843
NewCapacity,PWRTRN,2022,,,,,,,,,0.092238043
NewCapacity,PWRTRN,2023,,,,,,,,,0.098513863
NewCapacity,PWRTRN,2024,,,,,,,,,0.10512774
NewCapacity,PWRTRN,2025,,,,,,,,,0.11210635
NewCapacity,PWRTRN,2026,,,,,,,,,0.14538078
NewCapacity,PWRTRN,2027,,,,,,,,,0.15501662
NewCapacity,PWRTRN,2028,,,,,,,,,0.16526312
NewCapacity,PWRTRN,2029,,,,,,,,,0.17615379
NewCapacity,PWRTRN,2030,,,,,,,,,0.18773249
NewCapacity,PWRTRN,2031,,,,,,,,,0.20727919
NewCapacity,PWRTRN,2032,,,,,,,,,0.22292056
NewCapacity,PWRTRN,2033,,,,,,,,,0.23958063
NewCapacity,PWRTRN,2034,,,,,,,,,0.25734729
NewCapacity,PWRTRN,2035,,,,,,,,,0.3662947
NewCapacity,PWRTRN,2036,,,,,,,,,0.32117661
NewCapacity,PWRTRN,2037,,,,,,,,,0.34456767
NewCapacity,PWRTRN,2038,,,,,,,,,0.36967944
NewCapacity,PWRTRN,2039,,,,,,,,,0.3966414
NewCapacity,PWRTRN,2040,,,,,,,,,0.42558952
NewCapacity,PWRTRN,2041,,,,,,,,,0.34655007
NewCapacity,PWRTRN,2042,,,,,,,,,0.36600993
NewCapacity,PWRTRN,2043,,,,,,,,,0.38655593
NewCapacity,PWRTRN,2044,,,,,,,,,0.40825735
NewCapacity,PWRTRN,2045,,,,,,,,,0.43116646
NewCapacity,PWRTRN,2046,,,,,,,,,0.4645306
NewCapacity,PWRTRN,2047,,,,,,,,,0.49051029
NewCapacity,PWRTRN,2048,,,,,,,,,0.51794206
NewCapacity,PWRTRN,2049,,,,,,,,,0.5469062
NewCapacity,PWRTRN,2050,,,,,,,,,0.57748586
NewCapacity,PWRTRN,2051,,,,,,,,,1.7714852
NewCapacity,PWRTRN,2052,,,,,,,,,0.37943664
NewCapacity,PWRTRN,2053,,,,,,,,,0.39212915
NewCapacity,PWRTRN,2054,,,,,,,,,0.4052271
NewCapacity,PWRTRN,2055,,,,,,,,,0.41874861
NewCapacity,PWRTRN,2056,,,,,,,,,0.4327314
NewCapacity,PWRTRN,2057,,,,,,,,,0.44718941
NewCapacity,PWRTRN,2058,,,,,,,,,0.46213248
NewCapacity,PWRTRN,2059,,,,,,,,,0.4775823
NewCapacity,PWRTRN,2060,,,,,,,,,0.4935643
NewCapacity,PWRTRN,2061,,,,,,,,,0.35197158
NewCapacity,PWRTRN,2062,,,,,,,,,0.35996355
NewCapacity,PWRTRN,2063,,,,,,,,,0.36817421
NewCapacity,PWRTRN,2064,,,,,,,,,0.37662226
NewCapacity,PWRTRN,2065,,,,,,,,,0.38530279
NewCapacity,PWRTRN,2066,,,,,,,,,0.39421092
NewCapacity,PWRTRN,2067,,,,,,,,,0.40333789
NewCapacity,PWRTRN,2068,,,,,,,,,0.48306683
NewCapacity,PWRTRN,2069,,,,,,,,,0.52001347
NewCapacity,PWRTRN,2070,,,,,,,,,0.52943101
NewCapacity,PWRDIST,2019,,,,,,,,,0.02215436
NewCapacity,PWRDIST,2020,,,,,,,,,0.087173396
NewCapacity,PWRDIST,2021,,,,,,,,,0.078095337
NewCapacity,PWRDIST,2022,,,,,,,,,0.083638222
NewCapacity,PWRDIST,2023,,,,,,,,,0.089490128
NewCapacity,PWRDIST,2024,,,,,,,,,0.095677876
NewCapacity,PWRDIST,2025,,,,,,,,,0.10222792
NewCapacity,PWRDIST,2026,,,,,,,,,0.13187694
NewCapacity,PWRDIST,2027,,,,,,,,,0.14096235
NewCapacity,PWRDIST,2028,,,,,,,,,0.15064963
NewCapacity,PWRDIST,2029,,,,,,,,,0.16097405
NewCapacity,PWRDIST,2030,,,,,,,,,0.17198046
NewCapacity,PWRDIST,2031,,,,,,,,,0.18971328
NewCapacity,PWRDIST,2032,,,,,,,,,0.20445989
NewCapacity,PWRDIST,2033,,,,,,,,,0.22021256
NewCapacity,PWRDIST,2034,,,,,,,,,0.23705874
NewCapacity,PWRDIST,2035,,,,,,,,,0.33561149
NewCapacity,PWRDIST,2036,,,,,,,,,0.29665183
NewCapacity,PWRDIST,2037,,,,,,,,,0.31901076
NewCapacity,PWRDIST,2038,,,,,,,,,0.34307096
NewCapacity,PWRDIST,2039,,,,,,,,,0.36896471
NewCapacity,PWRDIST,2040,,,,,,,,,0.39683162
NewCapacity,PWRDIST,2041,,,,,,,,,0.32694019
NewCapacity,PWRDIST,2042,,,,,,,,,0.34611707
NewCapacity,PWRDIST,2043,,,,,,,,,0.36641465
NewCapacity,PWRDIST,2044,,,,,,,,,0.38790642
NewCapacity,PWRDIST,2045,,,,,,,,,0.41065117
NewCapacity,PWRDIST,2046,,,,,,,,,0.4431442
NewCapacity,PWRDIST,2047,,,,,,,,,0.46907101
NewCapacity,PWRDIST,2048,,,,,,,,,0.49651537
NewCapacity,PWRDIST,2049,,,,,,,,,0.52556545
NewCapacity,PWRDIST,2050,,,,,,,,,0.55631312
NewCapacity,PWRDIST,2051,,,,,,,,,1.6835518
NewCapacity,PWRDIST,2052,,,,,,,,,0.36147988
NewCapacity,PWRDIST,2053,,,,,,,,,0.37393622
NewCapacity,PWRDIST,2054,,,,,,,,,0.38680408
NewCapacity,PWRDIST,2055,,,,,,,,,0.40010187
NewCapacity,PWRDIST,2056,,,,,,,,,0.4138663
NewCapacity,PWRDIST,2057,,,,,,,,,0.42811209
NewCapacity,PWRDIST,2058,,,,,,,,,0.44285024
NewCapacity,PWRDIST,2059,,,,,,,,,0.45810283
NewCapacity,PWRDIST,2060,,,,,,,,,0.47389554
NewCapacity,PWRDIST,2061,,,,,,,,,0.34232873
NewCapacity,PWRDIST,2062,,,,,,,,,0.35045291
NewCapacity,PWRDIST,2063,,,,,,,,,0.35880489
NewCapacity,PWRDIST,2064,,,,,,,,,0.36740307
NewCapacity,PWRDIST,2065,,,,,,,,,0.37624376
NewCapacity,PWRDIST,2066,,,,,,,,,0.38532329
NewCapacity,PWRDIST,2067,,,,,,,,,0.39463431
NewCapacity,PWRDIST,2068,,,,,,,,,0.40420253
NewCapacity,PWRDIST,2069,,,,,,,,,0.41403533
NewCapacity,PWRDIST,2070,,,,,,,,,0.42414002
NewCapacity,MINBIO,2015,,,,,,,,,4.0586832
NewCapacity,MINBIO,2016,,,,,,,,,4.0586832
NewCapacity,MINBIO,2017,,,,,,,,,4.0586832
NewCapacity,MINBIO,2018,,,,,,,,,4.0586832
NewCapacity,MINBIO,2019,,,,,,,,,4.0586832
NewCapacity,MINBIO,2020,,,,,,,,,4.0586832
NewCapacity,MINBIO,2021,,,,,,,,,4.0586832
NewCapacity,MINBIO,2022,,,,,,,,,4.0586832
NewCapacity,MINBIO,2023,,,,,,,,,4.0586832
NewCapacity,MINBIO,2024,,,,,,,,,4.0586832
NewCapacity,MINBIO,2025,,,,,,,,,4.0586832
NewCapacity,MINBIO,2026,,,,,,,,,4.0586832
NewCapacity,MINBIO,2027,,,,,,,,,4.0586832
NewCapacity,MINBIO,2028,,,,,,,,,4.0586832
NewCapacity,MINBIO,2029,,,,,,,,,4.0586832
NewCapacity,MINBIO,2030,,,,,,,,,4.0586832
NewCapacity,MINHYD,2015,,,,,,,,,10.575959
NewCapacity,MINHYD,2016,,,,,,,,,10.575959
NewCapacity,MINHYD,2017,,,,,,,,,10.575959
NewCapacity,MINHYD,2018,,,,,,,,,10.575959
NewCapacity,MINHYD,2019,,,,,,,,,10.575959
NewCapacity,MINHYD,2020,,,,,,,,,10.575959
NewCapacity,MINHYD,2021,,,,,,,,,10.575959
NewCapacity,MINHYD,2022,,,,,,,,,10.575959
NewCapacity,MINHYD,2023,,,,,,,,,10.575959
NewCapacity,MINHYD,2024,,,,,,,,,10.575959
NewCapacity,MINHYD,2025,,,,,,,,,10.575959
NewCapacity,MINHYD,2026,,,,,,,,,10.575959
NewCapacity,MINHYD,2027,,,,,,,,,10.575959
NewCapacity,MINHYD,2028,,,,,,,,,5.80724
NewCapacity,MINHYD,2029,,,,,,,,,5.80724
NewCapacity,MINHYD,2030,,,,,,,,,5.80724
NewCapacity,MINHYD,2031,,,,,,,,,5.80724
NewCapacity,MINHYD,2032,,,,,,,,,5.80724
NewCapacity,MINHYD,2033,,,,,,,,,5.80724
NewCapacity,MINHYD,2034,,,,,,,,,5.80724
NewCapacity,MINHYD,2035,,,,,,,,,5.80724
NewCapacity,MINHYD,2036,,,,,,,,,5.80724
NewCapacity,MINHYD,2037,,,,,,,,,2.2465965
NewCapacity,MINHYD,2038,,,,,,,,,2.2465965
NewCapacity,MINHYD,2039,,,,,,,,,2.2465965
NewCapacity,MINGEO,2015,,,,,,,,,20.453137
NewCapacity,MINGEO,2016,,,,,,,,,21.628914
NewCapacity,MINGEO,2017,,,,,,,,,25.564471
NewCapacity,MINGEO,2018,,,,,,,,,29.634859
NewCapacity,MINGEO,2019,,,,,,,,,33.533305
NewCapacity,MINGEO,2020,,,,,,,,,37.413178
NewCapacity,MINGEO,2021,,,,,,,,,43.501241
NewCapacity,MINGEO,2022,,,,,,,,,47.182527
NewCapacity,MINGEO,2023,,,,,,,,,51.114285
NewCapacity,MINGEO,2024,,,,,,,,,51.524467
NewCapacity,MINGEO,2025,,,,,,,,,51.524467
NewCapacity,MINGEO,2026,,,,,,,,,53.978614
NewCapacity,MINGEO,2027,,,,,,,,,59.072399
NewCapacity,MINGEO,2028,,,,,,,,,68.074419
NewCapacity,MINGEO,2029,,,,,,,,,73.62358
NewCapacity,MINGEO,2030,,,,,,,,,79.537491
NewCapacity,MINGEO,2031,,,,,,,,,83.289808
NewCapacity,MINGEO,2032,,,,,,,,,90.207404
NewCapacity,MINGEO,2033,,,,,,,,,97.64199
NewCapacity,MINGEO,2034,,,,,,,,,105.62791
NewCapacity,MINGEO,2035,,,,,,,,,112.91636
NewCapacity,MINGEO,2036,,,,,,,,,122.883
NewCapacity,MINGEO,2037,,,,,,,,,132.78554
NewCapacity,MINGEO,2038,,,,,,,,,136.37831
NewCapacity,MINGEO,2039,,,,,,,,,148.68675
NewCapacity,MINGEO,2040,,,,,,,,,142.15007
NewCapacity,MINGEO,2041,,,,,,,,,152.00224
NewCapacity,MINGEO,2042,,,,,,,,,162.40764
NewCapacity,MINGEO,2043,,,,,,,,,174.2518
NewCapacity,MINGEO,2044,,,,,,,,,187.26395
NewCapacity,MINGEO,2045,,,,,,,,,201.00626
NewCapacity,MINGEO,2046,,,,,,,,,215.81197
NewCapacity,MINGEO,2047,,,,,,,,,228.1966
NewCapacity,MINGEO,2048,,,,,,,,,241.27383
NewCapacity,MINGEO,2049,,,,,,,,,255.08237
NewCapacity,MINGEO,2050,,,,,,,,,270.2718
NewCapacity,MINGEO,2051,,,,,,,,,280.11843
NewCapacity,MINGEO,2052,,,,,,,,,290.29443
NewCapacity,MINGEO,2053,,,,,,,,,300.81082
NewCapacity,MINGEO,2054,,,,,,,,,313.05403
NewCapacity,MINGEO,2055,,,,,,,,,325.70575
NewCapacity,MINGEO,2056,,,,,,,,,345.14995
NewCapacity,MINGEO,2057,,,,,,,,,358.66096
NewCapacity,MINGEO,2058,,,,,,,,,372.62345
NewCapacity,MINGEO,2059,,,,,,,,,387.05274
NewCapacity,MINGEO,2060,,,,,,,,,401.96489
NewCapacity,MINGEO,2061,,,,,,,,,412.59907
NewCapacity,MINGEO,2062,,,,,,,,,423.47471
NewCapacity,MINGEO,2063,,,,,,,,,434.59843
NewCapacity,MINGEO,2064,,,,,,,,,445.97739
NewCapacity,MINGEO,2065,,,,,,,,,457.53933
NewCapacity,MINGEO,2066,,,,,,,,,468.20364
NewCapacity,MINGEO,2067,,,,,,,,,478.80605
NewCapacity,MINGEO,2068,,,,,,,,,489.65483
NewCapacity,MINGEO,2069,,,,,,,,,500.7566
NewCapacity,MINGEO,2070,,,,,,,,,512.11816
NewCapacity,PWRGEO,2015,,,,,,,,,0.23446571
NewCapacity,PWRGEO,2016,,,,,,,,,0.037565382
NewCapacity,PWRGEO,2017,,,,,,,,,0.12573874
NewCapacity,PWRGEO,2018,,,,,,,,,0.13004649
NewCapacity,PWRGEO,2019,,,,,,,,,0.12455306
NewCapacity,PWRGEO,2020,,,,,,,,,0.12395968
NewCapacity,PWRGEO,2021,,,,,,,,,0.19451005
NewCapacity,PWRGEO,2022,,,,,,,,,0.11761491
NewCapacity,PWRGEO,2023,,,,,,,,,0.12561736
NewCapacity,PWRGEO,2024,,,,,,,,,0.013105091
NewCapacity,PWRGEO,2026,,,,,,,,,0.07840853
NewCapacity,PWRGEO,2027,,,,,,,,,0.16274346
NewCapacity,PWRGEO,2028,,,,,,,,,0.28760925
NewCapacity,PWRGEO,2029,,,,,,,,,0.17729243
NewCapacity,PWRGEO,2030,,,,,,,,,0.18894597
NewCapacity,PWRGEO,2031,,,,,,,,,0.11988432
NewCapacity,PWRGEO,2032,,,,,,,,,0.22101314
NewCapacity,PWRGEO,2033,,,,,,,,,0.23753066
NewCapacity,PWRGEO,2034,,,,,,,,,0.2551453
NewCapacity,PWRGEO,2035,,,,,,,,,0.23286175
NewCapacity,PWRGEO,2036,,,,,,,,,0.31842847
NewCapacity,PWRGEO,2037,,,,,,,,,0.31638025
NewCapacity,PWRGEO,2038,,,,,,,,,0.11478677
NewCapacity,PWRGEO,2039,,,,,,,,,0.53324755
NewCapacity,PWRGEO,2040,,,,,,,,,0.3046226
NewCapacity,PWRGEO,2041,,,,,,,,,0.35233644
NewCapacity,PWRGEO,2042,,,,,,,,,0.45818516
NewCapacity,PWRGEO,2043,,,,,,,,,0.50846054
NewCapacity,PWRGEO,2044,,,,,,,,,0.54028348
NewCapacity,PWRGEO,2045,,,,,,,,,0.56301856
NewCapacity,PWRGEO,2046,,,,,,,,,0.6675438
NewCapacity,PWRGEO,2047,,,,,,,,,0.51329642
NewCapacity,PWRGEO,2048,,,,,,,,,0.54342734
NewCapacity,PWRGEO,2049,,,,,,,,,0.45427967
NewCapacity,PWRGEO,2050,,,,,,,,,0.48529333
NewCapacity,PWRGEO,2051,,,,,,,,,0.39300252
NewCapacity,PWRGEO,2052,,,,,,,,,0.48786071
NewCapacity,PWRGEO,2053,,,,,,,,,0.62360198
NewCapacity,PWRGEO,2054,,,,,,,,,0.5684555
NewCapacity,PWRGEO,2055,,,,,,,,,0.59316128
NewCapacity,PWRGEO,2056,,,,,,,,,0.74111478
NewCapacity,PWRGEO,2057,,,,,,,,,0.65268216
NewCapacity,PWRGEO,2058,,,,,,,,,0.68362413
NewCapacity,PWRGEO,2059,,,,,,,,,0.71615238
NewCapacity,PWRGEO,2060,,,,,,,,,0.70929615
NewCapacity,PWRGEO,2061,,,,,,,,,0.65818435
NewCapacity,PWRGEO,2062,,,,,,,,,0.66385072
NewCapacity,PWRGEO,2063,,,,,,,,,0.47018293
NewCapacity,PWRGEO,2064,,,,,,,,,0.89679856
NewCapacity,PWRGEO,2065,,,,,,,,,0.67402005
NewCapacity,PWRGEO,2066,,,,,,,,,0.69305468
NewCapacity,PWRGEO,2067,,,,,,,,,0.79692614
NewCapacity,PWRGEO,2068,,,,,,,,,0.8550727
NewCapacity,PWRGEO,2069,,,,,,,,,0.89497846
NewCapacity,PWRGEO,2070,,,,,,,,,0.92601363
NewCapacity,MINSOL,2015,,,,,,,,,0.25364054
NewCapacity,MINSOL,2016,,,,,,,,,0.25364054
NewCapacity,MINSOL,2017,,,,,,,,,0.25364054
NewCapacity,MINSOL,2018,,,,,,,,,0.25364054
NewCapacity,MINSOL,2019,,,,,,,,,0.25364054
NewCapacity,MINSOL,2020,,,,,,,,,0.25364054
NewCapacity,MINSOL,2021,,,,,,,,,0.25364054
NewCapacity,MINSOL,2022,,,,,,,,,0.25364054
NewCapacity,MINSOL,2023,,,,,,,,,0.25364054
NewCapacity,MINSOL,2024,,,,,,,,,3.5358588
NewCapacity,MINSOL,2025,,,,,,,,,7.4152113
NewCapacity,MINSOL,2026,,,,,,,,,10.318154
NewCapacity,MINSOL,2027,,,,,,,,,11.265862
NewCapacity,MINSOL,2028,,,,,,,,,11.413862
NewCapacity,MINSOL,2029,,,,,,,,,13.463564
NewCapacity,MINSOL,2030,,,,,,,,,14.832298
NewCapacity,MINSOL,2031,,,,,,,,,20.289663
NewCapacity,MINSOL,2032,,,,,,,,,22.005816
NewCapacity,MINSOL,2033,,,,,,,,,23.850225
NewCapacity,MINSOL,2034,,,,,,,,,25.85039
NewCapacity,MINSOL,2035,,,,,,,,,28.730647
NewCapacity,MINSOL,2036,,,,,,,,,31.203223
NewCapacity,MINSOL,2037,,,,,,,,,32.750622
NewCapacity,MINSOL,2038,,,,,,,,,37.22852
NewCapacity,MINSOL,2039,,,,,,,,,40.282061
NewCapacity,MINSOL,2040,,,,,,,,,47.300839
NewCapacity,MINSOL,2041,,,,,,,,,49.572921
NewCapacity,MINSOL,2042,,,,,,,,,51.972587
NewCapacity,MINSOL,2043,,,,,,,,,54.322645
NewCapacity,MINSOL,2044,,,,,,,,,56.696148
NewCapacity,MINSOL,2045,,,,,,,,,59.20284
NewCapacity,MINSOL,2046,,,,,,,,,61.903502
NewCapacity,MINSOL,2047,,,,,,,,,65.455907
NewCapacity,MINSOL,2048,,,,,,,,,69.206981
NewCapacity,MINSOL,2049,,,,,,,,,73.167821
NewCapacity,MINSOL,2050,,,,,,,,,77.350127
NewCapacity,MINSOL,2051,,,,,,,,,80.009162
NewCapacity,MINSOL,2052,,,,,,,,,82.757143
NewCapacity,MINSOL,2053,,,,,,,,,85.597047
NewCapacity,MINSOL,2054,,,,,,,,,88.253832
NewCapacity,MINSOL,2055,,,,,,,,,90.999269
NewCapacity,MINSOL,2056,,,,,,,,,93.83638
NewCapacity,MINSOL,2057,,,,,,,,,96.768283
NewCapacity,MINSOL,2058,,,,,,,,,99.798156
NewCapacity,MINSOL,2059,,,,,,,,,102.92932
NewCapacity,MINSOL,2060,,,,,,,,,106.16527
NewCapacity,MINSOL,2061,,,,,,,,,108.4729
NewCapacity,MINSOL,2062,,,,,,,,,110.83292
NewCapacity,MINSOL,2063,,,,,,,,,113.24678
NewCapacity,MINSOL,2064,,,,,,,,,115.71602
NewCapacity,MINSOL,2065,,,,,,,,,118.2582
NewCapacity,MINSOL,2066,,,,,,,,,121.09457
NewCapacity,MINSOL,2067,,,,,,,,,124.05902
NewCapacity,MINSOL,2068,,,,,,,,,127.09235
NewCapacity,MINSOL,2069,,,,,,,,,130.19641
NewCapacity,MINSOL,2070,,,,,,,,,133.37311
NewCapacity,PWRSOL,2024,,,,,,,,,0.31057037
NewCapacity,PWRSOL,2025,,,,,,,,,0.36707247
NewCapacity,PWRSOL,2026,,,,,,,,,0.27468253
NewCapacity,PWRSOL,2027,,,,,,,,,0.089674138
NewCapacity,PWRSOL,2028,,,,,,,,,0.014004085
NewCapacity,PWRSOL,2029,,,,,,,,,0.19394709
NewCapacity,PWRSOL,2030,,,,,,,,,0.12951242
NewCapacity,PWRSOL,2031,,,,,,,,,0.51638739
NewCapacity,PWRSOL,2032,,,,,,,,,0.16238592
NewCapacity,PWRSOL,2033,,,,,,,,,0.1745219
