VariableName,ResultValue
"NewCapacity(RE1,PWRCOA,2044)",0.012097313
"NewCapacity(RE1,PWRCOA,2045)",0.060668659
"NewCapacity(RE1,PWRCOA,2046)",0.013764779
"NewCapacity(RE1,PWRCOA,2047)",0.023119014
"NewCapacity(RE1,PWRCOA,2048)",0.024411944
"NewCapacity(RE1,PWRCOA,2049)",0.025777099
"NewCapacity(RE1,PWRCOA,2050)",0.0089446128
"NewCapacity(RE1,PWRNGS001,2015)",0.2915364
"NewCapacity(RE1,PWRNGS001,2045)",0.24364389
"NewCapacity(RE1,PWRNGS001,2047)",0.013981793
"NewCapacity(RE1,PWRNGS001,2048)",0.014763724
"NewCapacity(RE1,PWRNGS001,2049)",0.015589335
"NewCapacity(RE1,PWRNGS001,2050)",0.016460996
"NewCapacity(RE1,PWRNGS001,2051)",0.010465607
"NewCapacity(RE1,PWRNGS001,2052)",0.010815684
"NewCapacity(RE1,PWRNGS001,2053)",0.011177479
"NewCapacity(RE1,PWRNGS001,2065)",6.6570786E-4
"NewCapacity(RE1,PWRNGS001,2066)",0.010463627
"NewCapacity(RE1,PWRNGS001,2067)",0.013298925
"NewCapacity(RE1,PWRNGS001,2068)",0.013607946
"NewCapacity(RE1,PWRNGS001,2069)",0.013925277
"NewCapacity(RE1,PWRNGS001,2070)",0.014251137
"NewCapacity(RE1,PWRNGS002,2015)",0.026496718
"NewCapacity(RE1,PWRTRN,2018)",0.070356759
"NewCapacity(RE1,PWRTRN,2019)",0.0976792
"NewCapacity(RE1,PWRTRN,2020)",0.09721385
"NewCapacity(RE1,PWRTRN,2021)",0.086272843
"NewCapacity(RE1,PWRTRN,2022)",0.092238043
"NewCapacity(RE1,PWRTRN,2023)",0.098513863
"NewCapacity(RE1,PWRTRN,2024)",0.10512774
"NewCapacity(RE1,PWRTRN,2025)",0.11210635
"NewCapacity(RE1,PWRTRN,2026)",0.14538078
"NewCapacity(RE1,PWRTRN,2027)",0.15501662
"NewCapacity(RE1,PWRTRN,2028)",0.16526312
"NewCapacity(RE1,PWRTRN,2029)",0.17615379
"NewCapacity(RE1,PWRTRN,2030)",0.18773249
"NewCapacity(RE1,PWRTRN,2031)",0.20727919
"NewCapacity(RE1,PWRTRN,2032)",0.22292056
"NewCapacity(RE1,PWRTRN,2033)",0.23958063
"NewCapacity(RE1,PWRTRN,2034)",0.25734729
"NewCapacity(RE1,PWRTRN,2035)",0.3662947
"NewCapacity(RE1,PWRTRN,2036)",0.32117661
"NewCapacity(RE1,PWRTRN,2037)",0.34456767
"NewCapacity(RE1,PWRTRN,2038)",0.36967944
"NewCapacity(RE1,PWRTRN,2039)",0.3966414
"NewCapacity(RE1,PWRTRN,2040)",0.42558952
"NewCapacity(RE1,PWRTRN,2041)",0.34655007
"NewCapacity(RE1,PWRTRN,2042)",0.36600993
"NewCapacity(RE1,PWRTRN,2043)",0.38655593
"NewCapacity(RE1,PWRTRN,2044)",0.40825735
"NewCapacity(RE1,PWRTRN,2045)",0.43116646
"NewCapacity(RE1,PWRTRN,2046)",0.4645306
"NewCapacity(RE1,PWRTRN,2047)",0.49051029
"NewCapacity(RE1,PWRTRN,2048)",0.51794206
"NewCapacity(RE1,PWRTRN,2049)",0.5469062
"NewCapacity(RE1,PWRTRN,2050)",0.57748586
"NewCapacity(RE1,PWRTRN,2051)",1.7714852
"NewCapacity(RE1,PWRTRN,2052)",0.37943664
"NewCapacity(RE1,PWRTRN,2053)",0.39212915
"NewCapacity(RE1,PWRTRN,2054)",0.4052271
"NewCapacity(RE1,PWRTRN,2055)",0.41874861
"NewCapacity(RE1,PWRTRN,2056)",0.4327314
"NewCapacity(RE1,PWRTRN,2057)",0.44718941
"NewCapacity(RE1,PWRTRN,2058)",0.46213248
"NewCapacity(RE1,PWRTRN,2059)",0.4775823
"NewCapacity(RE1,PWRTRN,2060)",0.4935643
"NewCapacity(RE1,PWRTRN,2061)",0.35197158
"NewCapacity(RE1,PWRTRN,2062)",0.35996355
"NewCapacity(RE1,PWRTRN,2063)",0.36817421
"NewCapacity(RE1,PWRTRN,2064)",0.37662226
"NewCapacity(RE1,PWRTRN,2065)",0.38530279
"NewCapacity(RE1,PWRTRN,2066)",0.39421092
"NewCapacity(RE1,PWRTRN,2067)",0.40333789
"NewCapacity(RE1,PWRTRN,2068)",0.48306683
"NewCapacity(RE1,PWRTRN,2069)",0.52001347
"NewCapacity(RE1,PWRTRN,2070)",0.52943101
"NewCapacity(RE1,PWRDIST,2019)",0.02215436
"NewCapacity(RE1,PWRDIST,2020)",0.087173396
"NewCapacity(RE1,PWRDIST,2021)",0.078095337
"NewCapacity(RE1,PWRDIST,2022)",0.083638222
"NewCapacity(RE1,PWRDIST,2023)",0.089490128
"NewCapacity(RE1,PWRDIST,2024)",0.095677876
"NewCapacity(RE1,PWRDIST,2025)",0.10222792
"NewCapacity(RE1,PWRDIST,2026)",0.13187694
"NewCapacity(RE1,PWRDIST,2027)",0.14096235
"NewCapacity(RE1,PWRDIST,2028)",0.15064963
"NewCapacity(RE1,PWRDIST,2029)",0.16097405
"NewCapacity(RE1,PWRDIST,2030)",0.17198046
