Field1
Optimal - objective value 17583.37133838
"62 NewCapacity(RE1,MINCOA,2021) 13.759193 0"
"63 NewCapacity(RE1,MINCOA,2022) 13.759193 0"
"64 NewCapacity(RE1,MINCOA,2023) 13.759193 0"
"65 NewCapacity(RE1,MINCOA,2024) 13.759193 0"
"66 NewCapacity(RE1,MINCOA,2025) 13.759193 0"
"67 NewCapacity(RE1,MINCOA,2026) 13.759193 0"
"68 NewCapacity(RE1,MINCOA,2027) 13.759193 0"
"69 NewCapacity(RE1,MINCOA,2028) 13.759193 0"
"70 NewCapacity(RE1,MINCOA,2029) 13.759193 0"
"71 NewCapacity(RE1,MINCOA,2030) 13.759193 0"
"72 NewCapacity(RE1,MINCOA,2031) 13.759193 0"
"73 NewCapacity(RE1,MINCOA,2032) 13.759193 0"
"74 NewCapacity(RE1,MINCOA,2033) 13.759193 0"
"75 NewCapacity(RE1,MINCOA,2034) 13.759193 0"
"76 NewCapacity(RE1,MINCOA,2035) 13.759193 0"
"77 NewCapacity(RE1,MINCOA,2036) 13.759193 0"
"78 NewCapacity(RE1,MINCOA,2037) 13.759193 0"
"79 NewCapacity(RE1,MINCOA,2038) 13.759193 0"
"80 NewCapacity(RE1,MINCOA,2039) 13.759193 0"
"81 NewCapacity(RE1,MINCOA,2040) 18.956231 0"
"82 NewCapacity(RE1,MINCOA,2041) 20.291565 0"
"83 NewCapacity(RE1,MINCOA,2042) 21.701883 0"
"84 NewCapacity(RE1,MINCOA,2043) 22.764213 0"
"85 NewCapacity(RE1,MINCOA,2044) 23.634761 0"
"86 NewCapacity(RE1,MINCOA,2045) 28.0006 0"
"87 NewCapacity(RE1,MINCOA,2046) 28.991141 0"
"88 NewCapacity(RE1,MINCOA,2047) 30.654832 0"
"89 NewCapacity(RE1,MINCOA,2048) 32.411565 0"
"90 NewCapacity(RE1,MINCOA,2049) 34.266537 0"
"91 NewCapacity(RE1,MINCOA,2050) 34.910209 0"
"92 NewCapacity(RE1,MINCOA,2051) 34.910209 0"
"93 NewCapacity(RE1,MINCOA,2052) 34.910209 0"
"94 NewCapacity(RE1,MINCOA,2053) 34.910209 0"
"95 NewCapacity(RE1,MINCOA,2054) 34.910209 0"
"96 NewCapacity(RE1,MINCOA,2055) 34.910209 0"
"97 NewCapacity(RE1,MINCOA,2056) 21.151016 0"
"98 NewCapacity(RE1,MINCOA,2057) 21.151016 0"
"99 NewCapacity(RE1,MINCOA,2058) 21.151016 0"
"100 NewCapacity(RE1,MINCOA,2059) 21.151016 0"
"101 NewCapacity(RE1,MINCOA,2060) 21.151016 0"
"102 NewCapacity(RE1,MINCOA,2061) 21.151016 0"
"103 NewCapacity(RE1,MINCOA,2062) 21.151016 0"
"104 NewCapacity(RE1,MINCOA,2063) 21.151016 0"
"105 NewCapacity(RE1,MINCOA,2064) 21.151016 0"
"106 NewCapacity(RE1,MINCOA,2065) 21.151016 0"
"107 NewCapacity(RE1,MINCOA,2066) 21.151016 0"
"108 NewCapacity(RE1,MINCOA,2067) 21.151016 0"
"109 NewCapacity(RE1,MINCOA,2068) 21.151016 0"
"110 NewCapacity(RE1,MINCOA,2069) 21.151016 0"
"111 NewCapacity(RE1,MINCOA,2070) 21.151016 0"
"112 NewCapacity(RE1,MINOIL,2015) 18.593822 0"
"113 NewCapacity(RE1,MINOIL,2016) 20.625977 0"
"114 NewCapacity(RE1,MINOIL,2017) 20.625977 0"
"115 NewCapacity(RE1,MINOIL,2018) 20.625977 0"
"116 NewCapacity(RE1,MINOIL,2019) 20.625977 0"
"117 NewCapacity(RE1,MINOIL,2020) 20.625977 0"
